data limit,run,initial_permutation,goal_percentage,goal_achieved,number_of_actions,total_task_time,final_goal_region_occupancy,is_success
10000,8,0,33.333333333333336,False,5,24.440999999999494,"['/column2', 'None', 'None']",0
10000,1,0,33.333333333333336,False,5,26.840999999999703,"['/column2', 'None', 'None']",0
10000,5,0,33.333333333333336,False,5,22.0809999999996,"['/column2', 'None', 'None']",0
10000,0,0,33.333333333333336,False,5,35.0409999999997,"['/column2', 'None', 'None']",0
10000,7,0,33.333333333333336,False,5,22.5609999999996,"['/column2', 'None', 'None']",0
10000,2,0,33.333333333333336,False,5,30.960999999999903,"['/column2', 'None', 'None']",0
10000,9,0,33.333333333333336,False,5,23.3209999999996,"['/column2', 'None', 'None']",0
10000,4,0,33.333333333333336,False,5,25.200999999999496,"['/column2', 'None', 'None']",0
10000,3,0,33.333333333333336,False,5,30.3209999999997,"['/column2', 'None', 'None']",0
10000,6,0,33.333333333333336,False,5,23.8409999999996,"['/column2', 'None', 'None']",0
10000,0,1,33.333333333333336,False,3,5.521,"['/column0', 'None', 'None']",0
10000,1,1,33.333333333333336,False,3,5.601,"['/column0', 'None', 'None']",0
10000,8,1,33.333333333333336,False,3,5.561000000000001,"['/column0', 'None', 'None']",0
10000,5,1,33.333333333333336,False,3,5.561000000000001,"['/column0', 'None', 'None']",0
10000,3,1,33.333333333333336,False,3,5.561000000000001,"['/column0', 'None', 'None']",0
10000,4,1,33.333333333333336,False,3,5.561000000000001,"['/column0', 'None', 'None']",0
10000,7,1,33.333333333333336,False,3,5.521,"['/column0', 'None', 'None']",0
10000,9,1,33.333333333333336,False,3,5.761,"['/column0', 'None', 'None']",0
10000,6,1,33.333333333333336,False,3,5.521,"['/column0', 'None', 'None']",0
10000,2,1,33.333333333333336,False,3,5.521,"['/column0', 'None', 'None']",0
10000,9,2,33.333333333333336,False,3,9.4809999999999,"['None', '/column1', 'None']",0
10000,2,2,33.333333333333336,False,3,11.0809999999998,"['None', '/column1', 'None']",0
10000,0,2,33.333333333333336,False,3,9.7609999999999,"['None', '/column1', 'None']",0
10000,6,2,33.333333333333336,False,3,11.7209999999998,"['None', '/column1', 'None']",0
10000,8,2,33.333333333333336,False,3,9.4009999999999,"['None', '/column1', 'None']",0
10000,5,2,33.333333333333336,False,3,12.5609999999998,"['None', '/column1', 'None']",0
10000,3,2,33.333333333333336,False,3,12.680999999999798,"['None', '/column1', 'None']",0
